GRE Score,TOEFL Score,CGPA,SOP,LOR ,Research,Chance of Admit 
296,119,9.47,2.4,3.1,1,0.211
305,96,6.93,2.5,4.4,1,0.186
315,100,9.57,3.4,4.4,0,0.214
337,95,8.75,2.4,4.3,0,0.204
338,118,8.96,3.1,1.0,1,0.212
291,113,9.69,4.1,4.0,1,0.235
290,108,8.69,3.8,4.0,0,0.202
337,100,7.68,2.8,3.7,0,0.191
301,92,9.39,4.5,4.0,0,0.208
294,112,7.77,3.2,4.4,1,0.203
326,111,6.62,3.2,2.9,0,0.184
321,104,9.41,1.1,3.0,0,0.194
298,119,7.71,4.9,1.5,1,0.208
330,107,9.21,1.5,2.5,1,0.219
324,104,7.77,1.9,3.6,1,0.208
308,105,9.51,1.2,4.1,1,0.216
337,94,7.27,3.6,1.9,1,0.198
305,97,9.91,1.9,1.6,0,0.195
292,109,9.23,1.7,3.7,0,0.204
309,110,6.9,1.4,1.0,1,0.182
313,96,8.48,1.4,1.7,1,0.193
322,106,9.95,3.3,1.1,1,0.223
313,116,8.15,3.8,1.7,1,0.21
300,93,7.14,2.6,1.7,1,0.183
338,101,8.2,2.9,2.6,0,0.199
297,115,8.29,3.7,2.6,0,0.191
325,109,9.1,1.1,4.5,0,0.212
327,118,8.95,2.3,3.0,0,0.202
329,104,7.91,4.9,3.9,1,0.209
309,96,7.26,3.3,1.4,0,0.178
324,114,8.76,2.0,1.9,1,0.214
337,115,7.98,3.1,3.8,1,0.218
314,92,6.96,2.4,1.2,1,0.181
324,113,9.65,3.1,2.9,0,0.217
314,92,8.92,1.5,3.4,1,0.196
318,109,8.89,1.5,3.4,0,0.196
307,106,9.38,1.6,1.1,0,0.192
335,108,8.35,4.8,2.3,1,0.22
307,102,9.35,3.9,3.5,1,0.221
291,112,8.24,1.6,1.6,1,0.195
324,117,6.74,1.8,3.8,0,0.186
305,116,7.92,3.9,4.0,1,0.217
330,113,8.24,1.6,4.9,0,0.201
325,118,9.02,1.9,1.8,1,0.205
322,118,6.87,4.9,4.3,1,0.212
293,108,6.99,2.0,3.1,0,0.177
322,104,7.42,3.6,2.5,0,0.193
303,92,7.43,4.9,1.5,0,0.181
310,93,9.06,2.5,3.9,0,0.196
337,100,7.38,1.1,1.9,0,0.182
309,94,8.72,2.0,2.5,0,0.191
297,92,8.23,4.3,1.3,1,0.197
296,112,8.51,4.5,4.2,1,0.222
292,107,9.43,4.1,4.1,0,0.204
306,114,7.92,1.5,3.9,1,0.202
322,97,9.2,4.2,2.2,0,0.201
337,119,7.98,4.7,1.7,1,0.199
301,108,7.74,3.4,3.6,1,0.201
311,96,9.86,4.8,3.0,0,0.213
311,96,7.15,4.3,1.7,0,0.184
335,97,6.82,3.7,3.7,0,0.185
319,94,9.2,3.3,5.0,1,0.211
327,112,6.74,2.4,4.0,0,0.181
327,114,9.43,1.6,4.0,1,0.227
334,96,8.03,3.4,4.8,0,0.196
297,112,9.7,2.3,1.8,1,0.22
316,96,9.03,4.5,3.3,1,0.221
316,101,8.64,5.0,4.9,0,0.208
323,101,9.82,4.0,1.7,1,0.217
310,110,7.89,1.4,3.8,1,0.205
319,108,9.84,2.2,3.3,0,0.21
322,112,6.97,1.4,3.3,1,0.184
317,105,8.19,3.6,3.8,0,0.202
336,100,7.44,4.1,4.7,0,0.2
322,105,8.39,4.7,4.1,0,0.212
294,92,7.07,2.8,1.2,0,0.171
337,110,9.45,4.6,4.4,1,0.229
308,104,9.46,4.5,1.9,1,0.223
293,104,9.84,2.3,2.5,1,0.219
324,95,7.04,4.5,2.8,0,0.187
338,92,8.68,2.5,2.9,1,0.209
306,108,8.16,2.2,2.7,1,0.193
333,99,7.71,3.6,4.7,0,0.195
317,93,7.73,2.3,3.8,0,0.191
319,119,7.94,3.5,3.5,1,0.207
318,99,8.97,3.4,1.2,0,0.19
335,98,8.59,3.3,4.6,0,0.223
295,117,8.11,2.5,4.6,0,0.189
324,117,6.77,3.2,4.1,0,0.201
330,93,6.77,3.4,1.0,1,0.183
326,113,6.51,3.2,1.2,0,0.177
313,113,9.89,2.8,1.9,0,0.206
318,94,6.52,1.1,1.5,0,0.169
338,118,6.86,3.3,2.6,0,0.182
335,109,7.6,1.7,4.7,0,0.186
320,103,9.33,3.6,2.9,0,0.216
324,92,9.87,4.0,1.1,0,0.202
322,113,9.27,3.0,2.1,0,0.21
310,103,8.92,3.2,1.2,1,0.2
321,96,8.32,4.8,1.1,0,0.197
312,118,6.8,4.4,2.1,1,0.204
322,116,9.85,4.7,2.1,0,0.215
292,108,9.15,4.3,4.1,0,0.198
307,107,8.74,1.4,4.9,0,0.208
314,106,9.16,1.6,2.5,0,0.203
331,114,9.03,3.1,2.7,1,0.216
320,106,8.73,2.0,4.4,0,0.201
292,96,9.93,2.9,2.1,0,0.196
329,112,9.66,2.6,1.6,1,0.226
335,105,8.76,3.2,4.4,1,0.216
313,93,8.93,4.0,1.2,0,0.188
339,102,6.68,3.9,3.5,1,0.198
321,110,8.84,3.1,3.2,1,0.21
336,98,6.65,4.3,2.4,1,0.188
311,97,8.56,2.7,2.3,0,0.19
312,119,10.0,4.6,4.1,0,0.225
291,93,8.45,1.3,1.3,0,0.171
316,97,8.16,4.8,1.9,1,0.211
331,109,7.59,3.6,3.9,0,0.201
291,93,6.92,2.5,3.2,1,0.181
315,109,9.06,1.8,1.5,0,0.192
306,106,7.17,2.9,4.5,0,0.186
329,118,6.9,1.8,2.6,1,0.198
322,110,7.98,1.7,4.3,0,0.199
298,93,9.28,3.5,4.2,1,0.219
332,111,9.11,3.1,3.5,1,0.218
337,116,6.69,3.7,3.0,0,0.175
328,97,8.09,4.7,4.9,1,0.221
318,92,8.33,3.1,1.6,0,0.188
331,115,8.76,3.3,3.9,0,0.213
315,106,8.78,1.4,1.8,1,0.211
324,119,7.78,3.9,2.4,0,0.209
339,114,8.46,2.6,2.2,1,0.208
314,101,8.18,4.9,4.8,0,0.205
313,110,9.6,4.3,4.9,0,0.226
302,108,8.36,3.1,1.7,0,0.187
296,96,8.04,1.5,1.1,0,0.173
325,95,7.92,4.4,3.9,0,0.195
334,101,8.5,4.2,2.7,1,0.213
309,115,9.31,1.7,1.4,1,0.208
290,108,8.38,2.2,3.7,1,0.199
297,101,8.82,4.2,3.2,1,0.205
335,108,9.08,1.7,4.9,1,0.224
305,119,8.32,4.7,1.9,1,0.216
303,111,7.99,2.7,2.6,0,0.197
301,115,9.57,1.3,3.2,0,0.201
312,96,7.96,4.3,4.2,1,0.211
304,93,8.12,2.5,3.2,1,0.198
317,97,9.97,3.1,3.5,0,0.209
323,112,6.5,1.4,1.9,0,0.177
291,93,7.15,1.0,4.4,0,0.171
321,104,7.84,3.6,2.7,1,0.201
312,102,9.76,3.1,1.6,1,0.208
311,102,6.75,3.4,3.7,1,0.189
314,107,6.53,4.2,1.9,0,0.18
311,102,6.68,3.6,1.4,0,0.182
311,110,6.81,1.7,4.4,1,0.19
338,106,6.63,2.4,2.8,1,0.186
331,116,8.18,4.6,4.0,0,0.216
295,114,8.53,4.1,2.2,0,0.195
304,114,7.45,3.2,4.1,0,0.183
332,107,7.89,2.0,1.4,0,0.188
326,102,6.82,2.2,2.4,1,0.186
322,113,7.68,3.9,4.9,0,0.213
297,107,8.33,4.4,4.2,0,0.203
333,99,9.06,3.7,3.0,0,0.206
333,95,6.51,4.2,2.4,1,0.185
294,99,8.14,4.1,4.5,1,0.207
328,95,7.54,1.6,3.2,0,0.191
293,115,9.48,2.7,4.0,0,0.21
295,116,9.0,1.6,4.0,0,0.196
334,94,8.56,1.9,1.1,1,0.202
321,94,7.47,4.5,1.5,1,0.195
319,118,9.69,2.9,3.6,1,0.228
336,109,6.66,3.1,1.6,0,0.179
324,117,6.88,1.7,2.0,1,0.188
329,110,7.87,2.2,4.8,0,0.196
305,110,6.94,1.9,3.2,0,0.183
302,112,9.85,1.8,4.0,0,0.208
339,96,9.29,3.6,3.2,1,0.218
331,109,7.41,2.0,3.2,0,0.184
319,119,8.56,3.5,1.4,1,0.212
308,101,9.94,1.2,2.4,1,0.214
306,113,9.59,1.6,2.1,0,0.2
308,112,8.6,2.1,2.6,0,0.192
317,97,9.66,3.4,4.2,1,0.231
315,92,9.96,3.7,2.5,0,0.199
326,96,9.1,2.8,2.8,1,0.214
315,100,6.73,2.8,2.6,0,0.183
312,103,7.91,3.9,1.4,1,0.181
298,117,9.43,1.1,2.8,1,0.215
301,105,7.31,2.4,1.8,1,0.186
290,93,9.41,4.3,1.7,1,0.209
290,108,6.92,3.4,1.4,0,0.172
336,105,6.66,2.3,2.4,0,0.185
323,117,7.84,4.6,4.0,1,0.216
321,104,6.63,4.1,2.1,1,0.191
337,118,9.85,2.1,2.2,0,0.21
314,100,9.39,3.6,3.6,0,0.218
329,117,9.3,3.4,1.8,0,0.21
334,116,8.7,2.6,4.6,0,0.222
290,106,7.26,2.5,3.1,0,0.189
305,116,8.31,2.4,2.8,0,0.186
328,113,8.59,3.5,3.2,1,0.212
294,106,8.34,2.8,1.7,0,0.182
311,115,7.41,4.3,3.5,0,0.194
318,102,8.3,3.7,2.5,1,0.207
292,107,8.22,1.3,4.6,0,0.192
301,108,9.99,3.6,1.7,0,0.214
315,117,9.64,2.1,3.0,0,0.217
305,95,8.12,3.4,3.4,0,0.196
326,92,8.68,3.7,1.1,0,0.191
311,99,9.12,1.9,2.5,1,0.202
318,108,6.62,2.8,3.9,0,0.182
303,94,9.63,1.8,4.3,1,0.216
317,111,9.51,1.2,2.3,1,0.211
294,106,8.1,2.5,4.2,0,0.185
336,106,7.87,2.5,4.9,1,0.213
338,115,7.46,5.0,4.4,0,0.203
319,113,8.17,2.8,1.5,1,0.2
335,105,6.66,2.3,4.0,1,0.194
294,117,9.48,3.3,2.3,0,0.204
301,119,6.62,1.4,5.0,0,0.179
305,114,7.65,4.8,2.9,0,0.188
315,105,9.76,3.5,1.5,0,0.207
315,115,9.07,4.0,3.9,0,0.215
